fertility,population,life expectancy
4.47,32.0,53.8
1.78,2.0,78.0
2.71,39.0,76.4
5.65,25.0,59.6
2.06,0.0,76.4
2.15,43.0,76.5
1.41,3.0,74.7
1.66,0.0,75.72
1.88,23.0,82.3
1.5,8.0,81.3
1.89,9.0,72.9
1.88,0.0,73.7
2.03,1.0,79.1
2.12,160.0,70.4
1.86,0.0,75.7
1.51,9.0,71.0
1.86,11.0,80.5
2.6,0.0,71.7
4.69,10.0,62.3
2.15,0.0,72.7
3.14,10.0,73.2
1.32,3.0,78.9
2.54,2.0,58.7
1.78,207.0,74.4
1.96,0.0,77.1
1.57,7.0,74.8
5.43,18.0,60.9
5.85,11.0,61.4
2.8,15.0,69.4
4.63,23.0,59.4
1.68,35.0,81.7
2.22,0.0,72.9
4.2,4.0,49.6
6.04,14.0,57.4
1.47,0.0,80.61
1.8,17.0,79.4
1.57,1376.0,76.2
2.23,48.0,78.0
4.58,0.0,68.1
5.72,77.0,60.8
4.86,4.0,61.5
1.77,4.0,80.3
4.76,22.0,59.1
1.52,4.0,77.8
1.45,11.0,78.2
1.46,1.0,81.8
1.6,10.0,78.8
1.89,5.0,80.4
3.26,0.0,63.8
2.42,10.0,75.3
2.5,16.0,75.9
2.7,91.0,71.5
2.14,6.0,74.9
4.65,0.0,61.0
4.52,5.0,60.7
1.62,1.0,77.8
4.28,99.0,65.2
2.54,0.0,65.8
1.86,5.0,80.9
1.98,64.0,81.8
3.0,0.0,77.58
2.03,0.0,76.69
3.97,1.0,65.9
5.67,1.0,68.1
1.81,3.0,72.9
1.44,80.0,80.8
3.74,27.0,65.3
1.55,10.0,81.0
,,
2.13,0.0,71.5
2.05,0.0,81.41
2.36,0.0,71.7
3.66,16.0,72.6
4.75,12.0,59.1
4.8,1.0,55.6
2.47,0.0,66.8
3.03,10.0,64.3
2.91,8.0,73.0
1.17,7.0,83.73
1.44,9.0,76.7
2.06,0.0,83.3
2.43,1311.0,67.2
2.28,257.0,71.1
1.91,79.0,74.6
3.91,36.0,67.4
1.99,4.0,81.7
2.86,8.0,82.1
1.52,59.0,82.2
2.21,2.0,75.0
1.45,126.0,83.2
3.12,7.0,78.5
2.4,17.0,70.2
4.24,46.0,65.1
2.89,0.0,63.0
2.55,3.0,80.3
3.04,5.0,69.8
2.87,6.0,67.1
1.64,1.0,75.4
1.49,5.0,78.9
2.94,2.0,47.1
4.64,4.0,63.2
2.26,6.0,74.1
1.55,2.0,75.2
1.69,0.0,82.2
1.13,0.0,80.82
1.43,2.0,76.5
4.35,24.0,63.5
5.23,17.0,60.5
1.94,30.0,75.3
2.18,0.0,80.0
6.81,17.0,60.2
1.35,0.0,82.1
1.81,0.0,81.86
4.55,4.0,69.7
1.5,1.0,74.5
3.64,0.0,79.65
2.13,127.0,75.9
3.19,0.0,68.9
1.45,4.0,73.9
2.4,2.0,67.1
1.65,0.0,77.2
2.71,34.0,74.6
5.04,27.0,57.1
1.9,53.0,68.0
2.95,2.0,64.2
2.18,28.0,69.7
1.78,16.0,81.3
,,
2.09,0.0,76.74
2.02,4.0,81.4
2.42,6.0,78.0
7.51,19.0,61.0
5.89,182.0,64.6
1.97,25.0,72.1
1.93,5.0,82.0
2.75,4.0,77.2
3.04,188.0,65.9
2.42,3.0,78.2
3.67,7.0,60.9
2.8,6.0,74.4
2.36,31.0,79.5
2.98,100.0,71.0
1.44,38.0,77.6
1.31,10.0,80.8
1.62,3.0,78.5
1.98,2.0,79.7
2.17,0.0,80.12
1.45,19.0,75.2
1.61,143.0,71.0
4.31,11.0,65.9
4.03,0.0,73.2
3.94,0.0,68.0
2.54,31.0,79.5
4.81,15.0,65.3
1.37,8.0,76.2
2.13,0.0,74.1
4.55,6.0,57.1
1.3,5.0,82.0
1.43,5.0,77.6
1.53,2.0,80.9
3.91,0.0,64.0
6.36,10.0,54.2
2.34,54.0,61.3
1.36,50.0,81.0
1.53,46.0,82.6
2.31,20.0,77.6
1.87,0.0,74.8
1.95,0.0,71.2
4.28,40.0,67.5
2.22,0.0,72.0
3.2,1.0,51.8
1.93,9.0,82.1
1.55,8.0,83.0
2.88,18.0,68.2
,,
3.75,8.0,72.4
5.07,53.0,64.1
1.38,67.0,74.7
5.6,1.0,72.4
4.51,7.0,61.5
3.68,0.0,71.5
1.79,1.0,72.4
1.97,11.0,77.6
2.0,78.0,79.2
2.27,5.0,70.0
5.67,39.0,61.3
1.49,44.0,71.5
1.77,9.0,75.4
1.89,64.0,81.0
1.97,321.0,79.1
2.03,3.0,76.8
2.25,29.0,71.8
3.31,0.0,64.9
2.34,31.0,74.8
1.7,93.0,75.4
2.45,0.0,80.6
3.88,4.0,74.6
2.3,0.0,68.3
3.83,26.0,66.0
5.59,16.0,56.7
3.35,15.0,59.3
